,X,Y
0,39.111867,-77.541409
1,38.624046,-77.260308
2,38.648441,-77.3767
3,38.764447,-77.586003
4,38.853289,-77.088498
5,38.729663,-77.23167
6,38.744027,-77.245888
7,38.886784,-77.256602
8,38.759733,-77.090017
9,38.826688,-77.191061
10,38.712551,-77.207544
11,38.665359,-77.266781
12,38.559335,-77.320794
13,38.842709,-77.064634
14,38.764447,-77.586003
15,38.769904,-77.230458
16,38.624978,-77.256869
17,38.763295,-77.090598
18,38.727045,-77.127902
19,38.792396,-77.068183
20,38.807664,-77.139624
21,38.818403,-77.135702
22,38.76997,-77.084174
23,38.859562,-77.308018
24,38.242622,-77.54139
25,39.030144,-77.380307
26,38.835706,-77.057631
27,36.75044,-76.554549
28,38.812063,-77.296424
29,38.869626,-77.299096
30,37.433486,-77.469654
31,36.825408,-76.425917
32,38.511348,-77.565714
33,37.933169,-122.33437
34,36.784288,-76.218852
35,37.427593,-77.503602
36,37.538331,-77.376322
37,37.331487,-78.427048
38,38.793259,-77.479232
39,36.653852,-76.244286
40,36.739692,-76.218698
41,37.466327,-78.094965
42,37.072018,-76.300361
43,38.240131,-77.618413
44,38.837367,-77.070968
45,37.335356,-77.526046
46,36.794838,-76.321168
47,38.805838,-77.605005
48,36.816867,-76.316069
49,37.246107,-76.799059
50,37.385981,-79.201976
51,37.543759,-77.492628
52,38.939275,-77.214536
53,37.245217,-79.945269
54,38.801845,-77.221425
55,38.79972,-77.223259
56,38.7904,-77.064928
57,38.858706,-77.095021
58,38.894101,-77.138542
59,36.62167,-82.164809
60,38.793259,-77.479232
61,37.441542,-77.443491
62,38.816021,-77.219604
63,38.908977,-77.221945
64,38.783714,-77.30688
65,38.712421,-77.116423
66,36.863344,-79.587644
67,37.002167,-76.369263
68,37.072018,-76.300361
69,38.668154,-77.934988
70,37.699018,-77.858885
71,37.336698,-79.964861
72,38.810132,-77.283488
73,38.80655,-77.282406
74,38.939275,-77.214536
75,37.28046,-77.314358
76,37.447608,-77.66787
77,38.901315,-77.15086
78,38.783003,-77.526103
79,38.974369,-77.373244
80,37.632225,-77.303918
81,37.516336,-77.58025
82,38.672827,-77.346451
83,38.915511,-77.134586
84,36.698701,-79.34518
85,36.608611,-82.195754
86,37.696482,-77.871596
87,36.845748,-81.516942
88,37.054023,-80.781938
89,38.703542,-78.696316
90,38.061558,-78.91097
91,38.863027,-77.457122
92,38.843224,-77.456207
93,38.061117,-78.49781
94,38.030306,-78.508577
95,38.462292,-78.512304
96,37.289914,-78.395108
97,38.825667,-77.601395
98,37.002541,-76.386332
99,38.771993,-77.492182
100,37.205712,-77.339964
101,37.551817,-77.468829
102,37.599995,-77.44985
103,37.336715,-79.943984
104,38.7458,-77.777994
105,36.78882,-76.219452
106,36.913639,-76.194085
107,37.611253,-77.545657
108,38.803872,-77.056014
109,37.424853,-77.677789
110,37.520557,-77.457854
111,38.417604,-78.945297
112,36.831422,-76.309116
113,37.366305,-80.039058
114,36.917848,-76.284337
115,38.011372,-78.494826
116,38.323341,-77.439044
117,38.507149,-78.160956
118,37.67375,-77.396148
119,38.66243,-77.388425
120,37.28871,-76.667192
121,36.896589,-76.286289
122,36.715686,-76.287207
123,38.803942,-77.047364
124,36.84318,-76.25486
125,38.787944,-77.203313
126,38.982333,-77.344407
127,36.76849,-76.427791
128,37.122174,-80.415665
129,36.917848,-76.284337
130,37.132491,-80.546394
131,37.136187,-80.558104
132,37.14031,-80.558325
133,39.160347,-78.096217
134,39.290704,-78.181113
135,38.902419,-77.271836
136,36.811633,-76.228743
137,38.940933,-77.419766
138,36.783233,-81.699949
139,37.243478,-80.062058
140,38.734825,-77.07861
141,38.847824,-77.323565
142,39.305892,-77.659636
143,37.243464,-80.06206
144,37.430587,-79.152042
145,37.685614,-77.426665
146,37.000423,-80.398179
147,36.99897,-80.398421
148,39.036806,-77.373625
149,36.735393,-76.592479
150,38.642105,-77.386477
151,38.639893,-77.334029
152,37.498144,-79.920397
153,37.436401,-79.181768
154,36.724739,-76.332036
155,37.188712,-76.492422
156,42.780509,-72.267979
157,37.573949,-77.39676
158,38.592058,-77.301523
159,36.947283,-78.177459
160,37.627893,-77.604743
161,37.532852,-77.473559
162,37.436115,-79.236815
163,38.852373,-77.344216
164,37.045633,-76.305852
165,38.841824,-77.331663
166,38.844099,-77.317256
167,37.287509,-76.668037
168,38.385989,-78.986644
169,37.282465,-79.244565
170,37.512851,-77.914386
171,36.692602,-76.282372
172,37.547341,-77.682501
173,37.355922,-79.898647
174,37.188735,-77.380381
175,38.995242,-78.374837
176,36.88046,-76.408093
177,36.870409,-76.425169
178,38.988847,-77.397275
179,38.415559,-78.618042
180,38.739828,-77.464965
181,37.524796,-77.455248
182,36.615749,-79.029843
183,36.702638,-76.254904
184,38.8355,-77.307073
185,38.801089,-77.28344
186,38.805792,-77.317429
187,37.549352,-77.40094
188,37.577407,-77.584865
189,37.500875,-77.463896
190,37.51041,-77.472358
191,36.874613,-76.399107
192,37.531015,-77.63642
193,37.482998,-77.580583
194,37.574971,-77.440785
195,37.316716,-79.940119
196,36.991851,-79.260216
197,36.715468,-76.276744
198,37.188735,-77.380381
199,38.920905,-77.256379
200,38.776159,-77.230843
201,36.717743,-76.567795
202,37.424083,-76.807953
203,37.075875,-81.824627
204,36.722956,-76.323395
205,38.656093,-77.257604
206,36.892854,-76.302154
207,36.773759,-79.533425
208,38.919953,-77.391453
209,38.903199,-77.393547
210,37.008659,-76.359681
211,37.541762,-76.330558
212,38.795715,-77.320416
213,37.439401,-77.714654
214,38.753601,-77.273515
215,36.919421,-76.284665
216,38.980657,-77.406952
217,38.919818,-77.114802
218,38.090533,-77.522795
219,37.798306,-79.989453
220,38.755649,-77.078205
221,38.627343,-77.324495
222,38.829563,-77.137852
223,38.825579,-77.196384
224,38.857792,-77.10908
